GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AWS KMS support for pgp-maven-plugin,com.lasmanis.maven.pgp.loaders,AwsKmsPassphraseLoader,8,92,0,12,3,19,1,8,1,2
AWS KMS support for pgp-maven-plugin,com.lasmanis.maven.pgp.loaders.helpers,AwsCryptoHelper,6,56,0,4,3,16,1,4,1,2
